model,set,clip,peak
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_105_bm_george.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_106_bm_lewis.wav,0.194531
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_107_bm_daniel.wav,0.201563
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_108_af_bella.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_109_af_nicole.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_110_af_sarah.wav,0.201563
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_111_af_sky.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_112_af_heart.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_113_af_nova.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_114_am_adam.wav,0.272656
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_115_am_michael.wav,0.489063
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_116_am_eric.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_117_am_liam.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_118_am_onyx.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_119_am_puck.wav,0.194531
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_120_bf_emma.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_121_bf_lily.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_122_bf_alice.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_123_bm_george.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_124_bm_lewis.wav,0.191406
